# 01 ==========================================================================================;;;;;;
# 02 tracciato record: ( separatore tra campi ==> ; ) non sono ammessi caratteri spazio nei campi);;;;;
# 03 ==========================================================================================;;;;;;
# 04 DB; type ; Application ; Connection ; Database ; Owner ; Table 
# 05 ==========================================================================================;;;;;;
# 06 DB          = Valore fisso che identifica la riga dati, a partire dal primo carattere;;;;;;
# 07 type        = [sql] oppure [ora] per individuare la tipologia di database;;;;;;
# 08 Application = Codice applicazione;;;;;;
# 09 Connection  = Connessione al database;;;;;;
# 10 Database    = Nome database;;;;;;
# 11 Owner       = Nome schema;;;;;;
# 12 Table       = Nome tabella;;;;;;
# 13 ==========================================================================================;;;;;;
DB; type ; Application ; Connection ; Database ; Owner ; Table 
DB ; sql ; FABBRICA_PRODOTTI ; IN01CC2C-3\CNS99C3S,1633 ; QUESTIONARIOPOG ; dbo ; TS_SIM_ANAGRAFE
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; FT_GARANTE
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; FT_GARANTE
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ANAG_CLIENTI
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ANAG_CLIENTI_OLD
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ANAG_CLIENTI_BMED_TMP
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ANAG_OPERATORI
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ANAG_OPERATORI_DBANK
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ANAG_OPERATORI_DBANK_MICRO
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ANAG_OPERATORI_NEW
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ANAG_OPERATORI_OLD
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ANAG_RUBRICA
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; CLIENTI_DESIO
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; GE_ANAG_CLIENTI
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ODS_ANAG_CLIENTI
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; ODS_CLIENTI_DB202
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; STG_IN1028_DWH_CCR
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; STG_IN1049_CARDS_KCCS
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; STG_IN109_FF_SALES_NETWORK
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; STG_IN175_FF
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; STG_IN249_SPRINT_COLLECTION
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; STG_IN837_EASYCRED_DDCR
DB ; ora ; GARANTE_II_TRACCIATURA_OPERATIVITA ; DG01DC2x:1522/DGA99C1O ; DGA99C1O ; DGA99C1O ; USERIDENTITY
